quarter,nominal_loan_pct,ppi_yoy_pct,cpi_yoy_pct,gdp_deflator_yoy_pct,approx_ppi_pct,approx_cpi_pct,approx_deflator_pct
2020Q1,5.48,-0.60,4.97,1.68,6.08,0.51,3.80
2020Q2,5.26,-3.27,2.73,-0.50,8.53,2.53,5.76
2020Q3,5.31,-2.17,2.27,0.64,7.48,3.04,4.67
2020Q4,5.30,-1.33,0.07,0.51,6.63,5.23,4.79
2021Q1,5.30,2.13,-0.03,2.20,3.17,5.33,3.10
2021Q2,5.20,8.20,1.10,5.07,-3.00,4.10,0.13
2021Q3,5.30,9.73,0.83,4.65,-4.43,4.47,0.65
2021Q4,5.19,12.23,1.77,5.62,-7.04,3.42,-0.43
2022Q1,4.98,8.73,1.10,3.55,-3.75,3.88,1.43
2022Q2,4.76,6.83,2.23,3.09,-2.07,2.53,1.67
2022Q3,4.65,2.47,2.67,1.72,2.18,1.98,2.93
2022Q4,4.57,-1.10,1.83,0.01,5.67,2.74,4.56
2023Q1,4.53,-1.57,1.27,0.53,6.10,3.26,4.00
2023Q2,4.48,-4.53,0.10,-0.59,9.01,4.38,5.07
2023Q3,4.51,-3.30,-0.07,-0.91,7.81,4.58,5.42
2023Q4,4.35,-2.77,-0.33,-0.83,7.12,4.68,5.18
2024Q1,4.27,-2.67,-0.00,-1.17,6.94,4.27,5.44
2024Q2,4.13,-1.57,0.27,-0.73,5.70,3.86,4.86
2024Q3,4.15,-1.80,0.50,-0.65,5.95,3.65,4.80
2024Q4,3.82,-2.57,0.20,-0.73,6.39,3.62,4.55
2025Q1,3.75,-2.33,-0.10,-0.85,6.08,3.85,4.60
2025Q2,3.69,-3.20,-0.03,-1.22,6.89,3.72,4.91
2025Q3,3.67,-2.93,-0.23,-1.05,6.60,3.90,4.72
2025Q4,3.55,-2.07,0.57,-0.62,5.62,2.98,4.17
2026Q1,3.54,-0.60,0.83,-0.04,4.14,2.71,3.58
2026Q2,3.51,3.60,1.13,1.50,-0.09,2.38,2.01
