quarter,baa_yield_pct,prime_pct,ppi_final_demand_yoy_pct,cpi_yoy_pct,gdp_deflator_yoy_pct,approx_baa_ppi_pct,approx_baa_cpi_pct,approx_baa_deflator_pct,approx_prime_ppi_pct
2020Q1,3.89,4.43,1.14,2.12,1.65,2.75,1.77,2.24,3.29
2020Q2,3.91,3.25,-0.96,0.36,0.72,4.87,3.54,3.18,4.21
2020Q3,3.31,3.25,0.00,1.22,1.32,3.31,2.09,1.99,3.25
2020Q4,3.30,3.25,0.70,1.24,1.64,2.60,2.06,1.66,2.55
2021Q1,3.47,3.25,2.87,1.90,2.43,0.60,1.57,1.04,0.38
2021Q2,3.55,3.25,6.89,4.85,4.44,-3.33,-1.29,-0.89,-3.64
2021Q3,3.24,3.25,8.42,5.34,5.08,-5.18,-2.10,-1.85,-5.17
2021Q4,3.31,3.25,9.72,6.69,6.23,-6.41,-3.38,-2.92,-6.47
2022Q1,3.95,3.29,10.74,7.96,7.01,-6.80,-4.02,-3.06,-7.45
2022Q2,5.02,3.94,11.07,8.63,7.75,-6.05,-3.62,-2.74,-7.13
2022Q3,5.35,5.36,8.95,8.33,7.30,-3.60,-2.98,-1.95,-3.59
2022Q4,5.97,6.82,7.31,7.10,6.48,-1.33,-1.13,-0.51,-0.48
2023Q1,5.60,7.69,4.39,5.81,5.35,1.21,-0.21,0.25,3.30
2023Q2,5.68,8.16,1.25,3.98,3.56,4.43,1.70,2.12,6.91
2023Q3,5.97,8.43,1.63,3.51,3.26,4.34,2.46,2.71,6.80
2023Q4,6.19,8.50,1.00,3.24,2.70,5.19,2.94,3.49,7.50
2024Q1,5.73,8.50,1.51,3.24,2.54,4.23,2.49,3.19,6.99
2024Q2,5.92,8.50,2.62,3.20,2.66,3.31,2.72,3.26,5.88
2024Q3,5.62,8.43,2.23,2.62,2.26,3.39,3.00,3.36,6.21
2024Q4,5.74,7.82,3.06,2.75,2.47,2.68,2.99,3.27,4.76
2025Q1,5.98,7.50,3.45,2.74,2.58,2.53,3.24,3.40,4.05
2025Q2,6.21,7.50,2.52,2.45,2.46,3.69,3.76,3.75,4.98
2025Q3,5.98,7.46,2.99,2.88,2.97,2.99,3.10,3.01,4.47
2025Q4,5.83,7.02,3.02,,3.30,2.81,,2.53,4.00
2026Q1,5.91,6.75,3.56,2.69,3.30,2.35,3.22,2.61,3.19
2026Q2,6.04,6.75,5.72,3.86,4.37,0.33,2.18,1.67,1.03
